TARGET_FLAG,KIDSDRIV,AGE,HOMEKIDS,INCOME,MSTATUS,SEX,EDUCATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,URBANCITY,NEW_CAR,H_RENTER,JOB_COLOR
0,0,60,0,67349,No,M,PhD,14,Private,14230,11,Minivan,4461,2,No,3,Urban,0,1,White
0,0,43,0,91449,No,M,High School,22,Commercial,14940,1,Minivan,0,0,No,0,Urban,1,0,Blue
0,0,35,1,16039,Yes,F,High School,5,Private,4010,4,SUV,38690,2,No,3,Urban,0,0,White
0,0,51,0,64618,Yes,M,<High School,32,Private,15440,7,Minivan,0,0,No,0,Urban,0,0,Blue
0,0,50,0,114986,Yes,F,PhD,36,Private,18000,1,SUV,19217,2,Yes,3,Urban,0,0,White
1,0,34,1,125301,No,F,Bachelors,46,Commercial,17430,1,Sports Car,0,0,No,0,Urban,0,1,Blue
0,0,54,0,18755,Yes,F,<High School,33,Private,8780,1,SUV,0,0,No,0,Urban,1,1,Blue
1,1,37,1,107961,Yes,M,Bachelors,44,Commercial,16970,1,Van,2374,1,Yes,10,Urban,0,0,Blue
1,0,34,0,62978,No,F,Bachelors,34,Private,11200,1,SUV,0,0,No,0,Urban,1,1,White
0,0,50,0,106952,No,M,Bachelors,48,Commercial,18510,7,Van,0,0,No,1,Rural,0,1,White
1,0,53,0,77100,No,F,Masters,15,Private,18300,1,Sports Car,0,0,No,0,Urban,0,1,White
0,0,43,0,52642,Yes,F,Masters,36,Private,22420,7,Minivan,0,0,No,0,Rural,1,0,White
0,0,55,0,59162,Yes,M,Bachelors,25,Commercial,17600,7,Van,5028,2,Yes,3,Urban,0,0,White
1,0,53,0,130795,No,M,PhD,64,Commercial,28340,6,Panel Truck,0,0,No,3,Urban,0,1,White
1,0,45,0,0,Yes,F,<High School,48,Private,6000,1,SUV,0,0,No,3,Urban,0,0,Blue
0,0,39,1,51884,No,F,Bachelors,43,Private,10590,6,SUV,0,0,No,0,Rural,0,0,White
0,0,42,0,59945,Yes,M,Masters,42,Private,14190,6,Minivan,0,0,No,0,Urban,0,0,White
0,0,34,1,34019,Yes,F,Masters,27,Private,8300,7,SUV,0,0,No,0,Urban,0,0,White
0,0,31,1,18903,Yes,F,<High School,48,Private,17330,4,Minivan,0,0,No,0,Urban,0,0,White
1,0,28,1,44077,Yes,F,High School,29,Commercial,8710,6,SUV,8935,2,No,0,Urban,1,0,Blue
1,0,43,0,37214,Yes,M,<High School,52,Commercial,26560,1,Panel Truck,0,0,No,3,Urban,1,1,Blue
0,0,48,0,96274,Yes,F,Masters,36,Private,11130,6,SUV,8250,1,No,5,Urban,0,0,White
0,0,47,0,46281,No,F,<High School,29,Private,19700,10,Minivan,0,0,No,1,Urban,0,1,Blue
0,1,44,1,0,Yes,F,High School,8,Private,5900,6,SUV,3338,3,No,0,Urban,0,0,Blue
0,0,33,1,79606,Yes,F,Bachelors,27,Private,16830,9,SUV,0,0,No,2,Rural,0,0,White
1,0,32,1,31275,Yes,F,High School,26,Private,10030,1,SUV,0,0,No,0,Urban,1,0,White
0,1,44,1,45488,Yes,M,Bachelors,16,Private,22090,17,Minivan,0,0,No,0,Urban,0,0,White
0,0,35,0,72193,No,F,Bachelors,26,Private,12220,6,SUV,0,0,No,3,Urban,0,1,White
0,0,40,1,14663,Yes,F,Masters,15,Private,14130,6,SUV,38127,2,Yes,4,Rural,0,0,Blue
0,0,49,0,49244,Yes,M,Bachelors,30,Private,15880,1,Minivan,0,0,No,1,Urban,1,0,White
0,0,52,0,51278,Yes,F,Bachelors,37,Private,1500,4,SUV,0,0,No,1,Urban,0,0,White
0,0,41,0,92842,No,M,Masters,12,Commercial,25810,6,Panel Truck,1431,2,No,5,Urban,0,0,White
0,0,39,0,35081,Yes,M,Bachelors,38,Commercial,16640,4,Van,0,0,No,0,Urban,0,0,Blue
0,0,56,0,0,Yes,F,PhD,65,Private,13220,1,Minivan,0,0,No,0,Rural,0,0,Blue
0,0,49,0,115044,No,F,PhD,18,Private,17900,1,Minivan,0,0,No,0,Urban,0,0,White
0,0,38,0,37754,Yes,F,High School,47,Private,12080,1,SUV,0,0,No,2,Rural,0,0,White
0,0,43,1,145353,Yes,F,Masters,38,Commercial,29450,6,Van,0,0,No,0,Urban,0,0,White
0,0,63,0,121398,Yes,F,PhD,10,Private,16270,1,SUV,0,0,No,0,Urban,0,0,White
0,0,52,0,0,No,F,High School,48,Commercial,9280,1,SUV,0,0,No,1,Rural,0,0,Blue
0,0,35,0,14508,Yes,M,Bachelors,22,Commercial,6450,1,Pickup,0,0,No,0,Urban,0,1,Blue
0,0,43,0,75338,Yes,F,Bachelors,40,Private,23080,1,Sports Car,0,0,No,0,Urban,0,0,White
0,0,41,0,32774,No,F,High School,44,Private,20120,4,Minivan,0,0,No,0,Rural,1,1,White
0,0,40,0,57474,Yes,M,Bachelors,5,Commercial,29270,4,Panel Truck,0,0,No,1,Urban,0,0,White
0,0,31,1,26520,Yes,M,Bachelors,62,Commercial,4600,6,Minivan,0,0,No,2,Urban,0,0,Blue
0,0,47,0,18444,Yes,F,High School,35,Commercial,19450,6,SUV,2981,2,No,5,Urban,0,1,Blue
0,0,53,0,107259,Yes,M,Masters,36,Private,29230,10,Minivan,0,0,No,0,Urban,0,0,White
0,0,39,1,34046,Yes,F,High School,33,Private,4040,6,SUV,0,0,No,0,Rural,0,0,White
0,0,33,1,32364,Yes,M,<High School,40,Private,12270,18,Minivan,0,0,No,3,Urban,1,0,White
0,0,59,0,106775,No,M,Masters,10,Private,31930,1,Minivan,0,0,No,0,Urban,0,1,White
1,0,40,0,16989,No,M,<High School,20,Commercial,12230,4,Pickup,26104,1,Yes,13,Urban,0,1,Blue
1,0,44,1,16352,Yes,F,High School,37,Private,10520,1,SUV,7838,1,No,1,Urban,1,0,Blue
0,0,56,0,44760,Yes,M,Bachelors,30,Private,21770,13,Minivan,0,0,No,0,Urban,0,0,White
1,1,45,1,63952,Yes,F,Masters,50,Private,32340,6,Van,27877,2,Yes,0,Urban,0,0,White
0,0,48,0,0,Yes,M,Bachelors,14,Commercial,28560,13,Panel Truck,1554,5,No,1,Urban,0,0,White
1,1,44,1,24060,No,M,Bachelors,24,Private,14220,4,Minivan,0,0,No,0,Urban,0,1,White
1,0,33,1,20822,Yes,F,High School,46,Private,6880,13,SUV,7896,3,No,0,Urban,1,0,Blue
0,0,32,1,54968,Yes,F,High School,20,Private,10040,4,SUV,0,0,Yes,0,Urban,0,0,White
1,0,34,0,14194,No,F,<High School,13,Private,2920,4,Sports Car,24767,3,Yes,2,Urban,0,0,White
0,1,38,1,2149,Yes,F,<High School,35,Private,22690,10,Pickup,0,0,No,2,Urban,1,0,Blue
1,1,43,1,137103,No,F,Masters,29,Private,19510,1,Sports Car,8890,3,No,0,Urban,0,1,White
0,0,49,0,129261,No,M,PhD,31,Commercial,33710,3,Panel Truck,34351,2,Yes,2,Urban,0,1,White
0,0,46,0,79538,No,F,Bachelors,13,Private,14050,3,Minivan,0,0,Yes,2,Urban,0,1,White
0,0,45,1,185836,Yes,F,PhD,28,Private,10250,1,SUV,4307,3,No,6,Urban,0,0,White
